,capacity_%,recall,precision
0,10.0,0.2624272279444693,0.4436033308099924
1,15.0,0.3448275862068966,0.3884964682139253
2,20.0,0.4200626959247649,0.3548997351494514
3,25.0,0.4805194805194805,0.32475786924939465
4,30.0,0.541871921182266,0.3051702395964691
