,capacity_%,recall,precision
0,10.0,0.23824451410658307,0.4027252081756245
1,15.0,0.32154052843708014,0.3622603430877901
2,20.0,0.40214957456336764,0.3397654180855089
3,25.0,0.46618898343036275,0.3150726392251816
4,30.0,0.5382892969099866,0.30315258511979826
